Dataset Title,Date,Producer,Abstract,How to Cite This,Keywords,Access URL
"Aggregate Dynamics of Campaigns",2009,"Farrell, Christian A.","Daily interactions between partisan elites, the media, and citizens are the driving dynamic of election campaigns and the central determinant of their outcomes. Accordingly, we develop a theory of campaign dynamics thatdeparts from previous top-down models of campaign effects in its emphasis on the reciprocal campaign interactions between these actors. We examine these interactions with daily data on campaign expenditures, media coverage,and voter support in the 2000 presidential campaign. We find that partisan elites, the media, and citizens each played critical and interdependent roles in creating the dynamics of the campaign and producing the closest electionin decades. We also find that the Gore campaign was hindered by its delayed responsiveness to the Bush campaign and its unwillingness to reinforce positive media coverage of Gore with increased campaign expenditures.","Box-Steffensmeier, Janet M., David  Darmofal, and Christian A. Farrell. Aggregate Dynamics of Campaigns. ICPSR26901-v1. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2009-12-01. http://doi.org/10.3886/ICPSR26901.v1",bush george w; campaign expenditures; campaigns; citizens; election campaigns; gore al; media coverage; presidential campaigns; presidential elections; voting behavior,https://odesi.ca/#/details?uri=/icpsr/26901.xml
"Homicide Survey [Canada] [B2020]",1999,Statistics Canada,"This survey collects detailed data on homicide in Canada. The survey has collected police-reported data on the characteristics of all murder incidents, victims and accused persons since 1961 and all homicides (including murder, manslaughter and infanticide) since 1974.","Statistics Canada, 2016, ""Homicide Survey [Canada] [B2020]"", hdl:10864/11120, Scholars Portal Dataverse, V1",law; social sciences; abduction; abuse; arson; assault; cases; charges; children; correctional facility; counts; court; crime; criminal; criminal code; custody; detention; drugs; employment; fraud; homicide; inmates; municipal area; murder; offences; police; policing; possession; prison; probation; robbery; rcmp; sentencing; shelters; theft; trafficking; transition; violent; weapons,https://odesi.ca/#/details?uri=/dataverse_sp/hdl--10864_11120.xml
"Canadian Gallup Poll, December 1974, #371",1974,Gallup Canada,"This Gallup poll seeks the opinions of Canadians, on predominantly political issues. The questions ask opinions about who will be the new political leaders as well as other political issues within the country. There are also questions on other topics of interest and importance to the country and government, such as type of employment, inflation and attitudes towards marijuana. The respondents were also asked questions so that they could be grouped according to geographical and social variables. Topics of interest include: the amount of foreign aid given; the cause of rising food prices; confidence in the government's handling of inflation; gender preference of boss; the groups that will suffer the most from high food prices; helping underdeveloped countries; legalizing marijuana; opinions of a two-price system; political preferences; giving prison sentences for selling marijuana; the protection of Canadian magazine publishers; who the replacement leader for the Conservative party will be; who the replacement leader for the NDP will be; whether or not the respondent would stop working if they had the means to do so; trying marijuana; the type of employment; and weekend prison leaves for serious convictions. Basic demographic variables are also included.","Gallup Canada, 2019, ""Canadian Gallup Poll, December 1974, #371"", https://doi.org/10.5683/SP2/JKVGUE, Scholars Portal Dataverse, V1, UNF:6:jNvErhwWZRZClG9VguzJXg== [fileUNF]",social sciences; public opinion poll; canada,https://odesi.ca/#/details?uri=/dataverse_sp/doi--10-5683_SP2_JKVGUE.xml
"SETUPS:  Voting Behavior:  The 1984 Election",1984,American Political Science Association,"Supplementary Empirical Teaching Units in Political Science  (SETUPS) for American Politics are computer-related modules designed  for use in teaching introductory courses in American government  and politics. The modules are intended to demonstrate the process of  examining evidence and reaching conclusions and to stimulate students  to independent, critical thinking and a deeper understanding of  substantive content. They enable students with no previous training  to make use of the computer to analyze data on political behavior. The data for this module were taken from the pre- and post-election  surveys of the AMERICAN NATIONAL ELECTION STUDY, 1984 (ICPSR 8298),  conducted by Warren E. Miller and the National Election Studies  Board. Only respondents who completed both waves of the survey were included in this subset. Variables provide information on respondents' level of political involvement and knowledge of political issues, and their opinions of the 1984 presidential candidates, Ronald  Reagan and Walter Mondale, and the vice-presidential candidates, George Bush and Geraldine Ferraro. Also included are respondents' views on the economy, domestic and foreign affairs, and their  general political attitudes and beliefs. Demographic items specify age, sex, race, marital status, education, occupation, income,  social class identification, religion, and size and type of community in which respondents resided.","American Political Science Association. SETUPS: VOTING BEHAVIOR: THE 1984 ELECTION. Ann Arbor, MI: Charles L. Prysby and Carmine Scavo [producers], 1985. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2002. http://doi.org/10.3886/ICPSR08430.v1",bush george hw; computer programs; economic conditions; ferraro geraldine; government; instructional materials; mondale walter; national elections; political attitudes; political participation; politics; presidential candidates; reagan ronald; voting behavior,https://odesi.ca/#/details?uri=/icpsr/08430.xml
"National Survey of Substance Abuse Treatment Services (N-SSATS) -- Concatenated, 1997 to 2011",1997,United States Department of Health and Human Services. Substance Abuse and Mental Health Services Administration. Center for Behavioral Health Statistics and Quality,"The National Survey of Substance Abuse Treatment Services (N-SSATS) is designed to collect information from all facilities in the United States, both public and private, that provide substance abuse treatment.  Data are collected on topics including facility operation, services offered (assessment and pre-treatment, pharmacotherapies, testing, transitional, ancillary), detoxification, primary focus (substance abuse, mental health, both, general health, and other), hotline operation, Opioid Treatment Programs and medications dispensed/prescribed, counseling and therapeutic approaches, languages in which treatment is provided, type of treatment provided, number of clients (total and under age 18), number of beds, types of payment accepted, sliding fee scale, special programs offered, facility accreditation and licensure/certification, and managed care agreements.  N-SSATS was titled the Uniform Facility Data Set (UFDS) in 1997 and 1998. Data from these years along with N-SSATS 2000 and  N-SSATS 2002 to N-SSATS 2011 are included in this concatenated dataset.","United States Department of Health and Human Services. Substance Abuse and Mental Health Services Administration. Center for Behavioral Health Statistics and Quality. National Survey of Substance Abuse Treatment Services (N-SSATS) -- Concatenated, 1997 to 2011. ICPSR28544-v5. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2014-04-25. http://doi.org/10.3886/ICPSR28544.v5",alcohol abuse; drug abuse; drug treatment; health care services; hiv; intervention; substance abuse; substance abuse treatment; treatment facilities; treatment programs,https://odesi.ca/#/details?uri=/icpsr/28544.xml
"Federal Justice Statistics Program: Offenders Released From Prison, 2000",1999,United States Department of Justice. Office of Justice Programs. Bureau of Justice Statistics,"The data contain records of sentenced offenders released from the custody of the Bureau of Prisons (BOP) during fiscal year 2000. The data include commitments of United States District Court, violators of conditions of release (e.g., parole, probation, or supervised release violators), offenders convicted in other courts (e.g., military or District of Columbia courts), and persons admitted to prison as material witnesses or for purposes of treatment, examination, or transfer to another authority. Records of offenders who exit federal prison temporarily, such as for transit to another location, to serve a weekend sentence, or for health care, are not included in the exiting cohort. These data include variables that describe the offender, such as age, race, citizenship, as well as variables that describe the sentences and expected prison terms. The data file contains original variables from the Bureau of Prisons' SENTRY database, as well as ""SAF"" variables that denote subsets of the data. These SAF variables are related to statistics reported in the Compendium of Federal Justice Statistics, Tables 7.9-7.16. Variables containing identifying information (e.g., name, Social Security Number) were replaced with blanks, and the day portions of date fields were also sanitized in order to protect the identities of individuals. These data are part of a series designed by the Urban Institute (Washington, DC) and the Bureau of Justice Statistics. Data and documentation were prepared by the Urban Institute.","United States Department of Justice. Bureau of Justice Statistics. Federal Justice Statistics Program: Offenders Released From Prison, 2000. ICPSR24112-v3. Ann Arbor, MI: Inter-university Consortium for Political and Social Research[distributor], 2014-03-10. http://doi.org/10.3886/ICPSR24112.v3",correctional system; offenders; prisons,https://odesi.ca/#/details?uri=/icpsr/24112.xml
"Department of Fisheries and Oceans: Catch and Effort Data, 1997 [Canada]",1997,Department of Fisheries and Oceans,"Information on volume and value of fish landings in Canada are collected by both federal and provincial agencies. Information contained in this section covers volume and value of landings in sea fisheries by species-groups, by main species, by province and, for Atlantic Canada by DFO regions.","Department of Fisheries and Oceans. Catch and Effort Data, 1997 [Canada]",company code; effort; fish; fishing distribution; groundfish; horsepower; landings; length class; limit; port; quantity; quota; seal pelts,https://odesi.ca/#/details?uri=/odesi/dfo-E-1997-ced.xml
"National Health Interview Survey, 1987:  Cancer Risk Factor Supplement, Epidemiology Study",1987,United States Department of Health and Human Services. National Center for Health Statistics,"The National Health Interview Surveys (NHIS) continuouslymonitor illness and injury, disability and chronic impairments, andhealth services used by people in the United States. In 1987,additional interviews were conducted with two subsamples of NHISrespondents to gather data on cancer control and epidemiology. Like theCancer Control supplement, this Cancer Epidemiology supplement includedquestions on acculturation (in terms of language, ethnicity, and placeof birth), dietary knowledge, smoking and tobacco use, and occupationalhistory. The Cancer Epidemiology supplement also included questions onfrequency and portion sizes of food and drink items, vitamin andmineral intake, reproduction, hormone use, family's and respondent'shistory of cancer, height and weight, and participation in socialactivities. Approximately 90 demographic, health status, and healthcare variables from the core data files are included on the supplementfile.","United States Department of Health and Human Services. National Center for Health Statistics. National Health Interview Survey, 1987:  Cancer Risk Factor Supplement, Epidemiology Study. ICPSR09341-v1. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 1990. http://doi.org/10.3886/ICPSR09341.v1",cancer; chronic disabilities; chronic illnesses; diet; disabilities; ethnicity; health; health behavior; health care; health care services; health problems; illness; medical history; nutrition; place of birth; risk factors,https://odesi.ca/#/details?uri=/icpsr/09341.xml
"Icicle run 110623",1106,Antony Szu-Han Chen,Scale of raw images: 55.760 pixel/cm,"Antony Szu-Han Chen, 2018, ""Icicle run 110623"", https://doi.org/10.5683/SP/KVZG3Z, Scholars Portal Dataverse, V1",physics; ice physics icicles experiment pattern formation phase change geomorphology,https://odesi.ca/#/details?uri=/dataverse_sp/doi--10-5683_SP_KVZG3Z.xml
"Labour Force Survey, April 1980 [Canada]",1980,Labour Statistics Division,"<p>Note: Because missing values are removed from this dataset, any form of non-response (e.g. valid skip, not stated) or don't know/refusal cannot be coded as a missing. The ""Sysmiss"" label in the Statistics section indicates the number of non-responding records for each variable, and the ""Valid"" values in the Statistics section indicate the number of responding records for each variable. The total number of records for each variable is comprised of both the sysmiss and valid values. </p><p>The Labour Force Survey provides estimates of employment and unemployment which are among the most timely and important measures of performance of the Canadian economy. With the release of the survey results only 13 days after the completion of data collection, the LFS estimates are the first of the major monthly economic data series to be released.</p><p>The Canadian Labour Force Survey was developed following the Second World War to satisfy a need for reliable and timely data on the labour market. Information was urgently required on the massive labour market changes involved in the transition from a war to a peace-time economy. The main objective of the LFS is to divide the working-age population into three mutually exclusive classifications - employed, unemployed, and not in the labour force - and to provide descriptive and explanatory data on each of these.</p><p>LFS data are used to produce the well-known unemployment rate as well as other standard labour market indicators such as the employment rate and the participation rate. The LFS also provides employment estimates by industry, occupation, public and private sector, hours worked and much more, all cross-classifiable by a variety of demographic characteristics. Estimates are produced for Canada, the provinces, the territories and a large number of sub-provincial regions. For employees, wage rates, union status, job permanency and workplace size are also produced.</p><p>These data are used by different levels of government for evaluation and planning of employment programs in Canada. Regional unemployment rates are used by Human Resources Development Canada to determine eligibility, level and duration of insurance benefits for persons living within a particular employment insurance region. The data are also used by labour market analysts, economists, consultants, planners, forecasters and academics in both the private and public sector.</p>","Statistics Canada. 1980. Labour Force Survey, April 1980 [public-use microdata file]. Ottawa, Ontario: Statistics Canada. Labour Statistics Division / Data Liberation Initiative [producer and distributor].",demographics; employment; hours of work; income; industries; labour force; labour force survey; occupations; unemployment; work,https://odesi.ca/#/details?uri=/odesi/lfs-71M0001XCB-E-1980-April.xml
"Canadian Gallup Poll, August 1997",1997,Gallup Canada Inc.,"<p>This Gallup poll seeks the opinions of Canadians, on predominantly political and social issues.  The questions ask opinions of the past federal election, job security, and health care in Canada. There are also questions on other topics of interest such as the death penalty, the treatment of mental health, and Canadian universities. The respondents were also asked questions so that they could be grouped according to geographic, political and social variables.</p><p>Topics of interest include: election; health care; death penalty; job security; Jean Chretien; and political party preference.</p>Basic demographic variables are also included","Canadian Institute of Public Opinion (CIPO). 1997. Gallup Poll, August 1997 [Canada]. [public-use microdata file]. Toronto, Ontario. Gallup Canada Inc. [distributor].",best university in canada; death penalty; election; health care; jean chretien; job security; treatment of mental health,https://odesi.ca/#/details?uri=/odesi/cipo-E-1997-08.xml
"National Longitudinal Survey of Older and Young Men",2013,Ohio State University. Center for Human Resource Research,"The National Longitudinal Survey of Older and Young Men, a two-cohort survey, is part of the NLS Original Cohort project. The Older Men's cohort includes 5,020 men ages 45-59 in 1966, with data available through the 1990 survey year, the final year the Older Men were interviewed. The Young Men's cohort includes 5,225 men who were ages 14-24 when first interviewed in 1966, with data available through 1981, when active surveying was discontinued.",,compensation; earned degrees; education; educational programs; employment; employment discrimination; financial assets; health care; health insurance; health problems; health status; higher education; industry; job descriptions; job tenure; job training; leisure; military service; occupations; older workers; pensions; psychological wellbeing; retirement planning; unemployment; union membership; vocational education; work attitudes; working hours,https://odesi.ca/#/details?uri=/icpsr/34937.xml
"Enquête sur la population active, septembre 1999 [Canada] [Remanié Recensement 2006]",2000,Division de la statistique du travail,"<p> L'Enquête sur la population active (EPA) fournit des estimations de l'emploi et du chômage, lesquelles figurent parmi les mesures les plus actuelles et les plus importantes de la performance de l'économie canadienne.  Parmi les principales séries de données économiques mensuelles, les estimations axées sur l'EPA sont les premières à être rendues publiques, les résultats de l'enquête étant diffusés 13 jours seulement après la fin de la collecte des données. </p><p>L'EPA, conçue à la suite de la Deuxième Guerre mondiale, a pour objectif de répartir la population en âge de travailler en trois catégories qui s'excluent mutuellement, à savoir celles des personnes occupées (des employés), des chômeurs et des inactifs, ainsi que de fournir des données descriptives et explicatives sur chacune de ces catégories. </p>  <p>Les données de l'EPA sont utilisées pour produire le très connu taux de chômage ainsi que d'autre indicateurs de base du marché de travail tel que le taux d'emploi et le taux d'activité. </p><p> L'EPA procure également des estimations de l'emploi selon la branche d'activité, la profession, le secteur public ou privé, le nombre d'heures travaillées et davantage.  D’autres sujets incluent les salaires, la couverture syndicale, la permanence de l'emploi et la taille du lieu de travail.  Il est possible de croiser ces séries selon une variété de caractéristiques démographiques. </p><p> Il s'agit d'un fichier mensuel, et les données disponibles remontent à 1976. </p><p><strong>Note : </strong>  <br/><p>Puisque les valeurs manquantes sont retirées de cette série de données, toute forme de non-réponse (ex. enchaînement valide, non déclaré, ne sait pas, refus) ne peut être identifiée comme manquante. L'étiquette </em>« Sysmiss »</em> dans la section statistiques indique le nombre d'enregistrements de non-réponse pour chacune des variables, tandis que la valeur « Valid » indique le nombre d'enregistrements de réponses pour chacune des variables. Pour chacune des variables, le total d'enregistrements comprend les valeurs « Sysmiss » ainsi que </em>« Valid »</em>.  </p> <p>Révision de l'Enquête sur la population active (EPA): Les estimations de l'EPA étaient auparavant basées sur les estimations de la population du Recensement de 2001. Dorénavant, les données de l'EPA ont été rétroactivement ajustées jusqu'en 1996, pour refléter les estimations de la population du Recensement de 2006. </p>","Mowers Susan, 2017-11-15. Enquête sur la population active, septembre 1999 [Canada] [Remanié d'après le recensement de la population de 2006] [fichier de microdonnées à grande diffusion]. Ottawa, Ontario: Université d'Ottawa [producteur et distributeur]",chômage; emploi; enquête sur la population active; heures de travail; industries; population active; professions; pumffile; revenu; travail; variables démographiques,https://odesi.ca/#/details?uri=/odesi/epa-71M0001XCB-F-septembre-1999-remanie-2006.xml
"Massachusetts Nursing Profession Entrants Survey, 1988",1988,"Lerner, Debra J.","The purpose of this survey was to gather information toassist educators, administrators, and policymakers in the developmentof strategies for the recruitment and retention of registered nurses.To that end, nurses taking the Massachusetts licensure exam werequeried about their reasons for going into nursing, their nursingcareer goals, their attitudes toward the nursing profession, theirpreferences for various branches of the nursing profession, and theimportance they placed on various aspects of work in general, e.g., jobsecurity, high income, and good opportunities for advancement.Respondents were also questioned about their job searches and theircurrent or impending jobs: how the job was found, number ofapplications filled out and offers received, number of hours usuallyworked, earnings, type of medical facility, shift usually worked andpreferred, commuting distances, public transportation and child careneeds, whether student clinical experience was obtained with theemployer, planned length of stay at the job, and the importance ofvarious factors that attracted them to the position, such as theattractiveness of the town or city where the job was located, salaryand benefit levels, availability of parking and child care, and jobflexibility. In addition, the survey asked respondents how and whenthey decided to become nurses, how they found out about educationaloptions in nursing, how much basic nursing education they received andhow it was financed, which factors attracted them to the schools fromwhich they graduated, and how much of their basic nursing education wasdevoted to clinical experience. Background information on respondentsincludes age, sex, citizenship, race, ethnic group, marital status,education, education goals, family income, number and ages of relatedpersons living in the household, usage of child care and elderly careservices, parents' education and occupations, and mother's employmentstatus at various stages of the respondent's childhood and adolescence.","Lerner, Debra J. Massachusetts Nursing Profession Entrants Survey, 1988. ICPSR09520-v1. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 1995. http://doi.org/10.3886/ICPSR09520.v1",career choice; career expectations; career goals; child care; commuting travel; education; education costs; educational background; educational planning; income; job satisfaction; job security; nurses; professional development; public transportation; work attitudes; work environment; working hours,https://odesi.ca/#/details?uri=/icpsr/09520.xml
"ABC News/Washington Post Afghanistan Attack Poll #1, October 2001",2001,The Washington Post,"This special topic poll, conducted October 7, 2001, wasundertaken to assess respondents' reactions to and feelings about theUnited States military action in Afghanistan. Respondents were askedwhether they approved of the way President Bush was handling theresponse to terrorist attacks in the United States, and whether theysupported United States air strikes on Afghanistan and sending asignificant number of United States ground troops into thatcountry. Those polled also gave their opinions on whether capturing orkilling Osama bin Laden and his associates was a higher priority thanoverthrowing the Taliban government and how concerned they were aboutthe possibility of further terrorist attacks in America. Respondentsalso tried to predict whether it would be a quick military action or along war, and whether the military action in Afghanistan would makefurther terrorist attacks against the United States more or lesslikely. Opinions were elicited on whether the United States shouldhave done more to find a diplomatic solution before attackingAfghanistan, whether the United States should mount a broader waragainst terrorism, whether the United States government was doingenough in its anti-terrorism campaign to win the support of Muslimpeople, and whether respondents supported the humanitarian aid forAfghans. Background information on respondents includes gender andpolitical party affiliation.","ABC News, and The Washington Post. ABC News/Washington Post Afghanistan Attack Poll #1, October 2001. ICPSR03298-v1. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2001. http://doi.org/10.3886/ICPSR03298.v1",afghanistan war; attitudes; bin laden osama; bush administration george w 20012009; bush george w; counterterrorism; diplomacy; military intervention; presidential performance; public opinion; september 11 attack; terrorism,https://odesi.ca/#/details?uri=/icpsr/03298.xml
"National Nursing Home Survey, 1995",1995,United States Department of Health and Human Services. National Center for Health Statistics,"The National Nursing Home Survey (NNHS) is a survey ofnursing homes and related care facilities in the United States.Between July and December 1995, information regarding facility andfinancial characteristics was gathered from 1,409 facilities, alongwith current resident information for 8,056 residents. For Part 1,Facility Questionnaire Data, personal interviews with facilityadministrators provided information on topics such as certification,availability of beds, and kinds of services provided, includingdental, hospice, and nutrition. Through interviews with staffpersons, current residents provided information on their age, race,marital status, level of care, and use of aids such as walkers,hearing aids, and crutches. These data are contained in Part 2, CurrentResident Questionnaire Data. Financial data for facilities in Part 3,Expense Questionnaire Data, were supplied by accountants andbookkeepers using self-enumerated questionnaires pertaining to payrollexpenses, drug costs, total revenues, and Medicare/Medicaid payments.","U.S. Dept. of Health and Human Services, National Center for Health Statistics. NATIONAL NURSING HOME SURVEY, 1995. ICPSR06998-v1. Hyattsville, MD: U.S. Dept. of Health and Human Services, National Center for Health Statistics [producer], 1996. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 1997. http://doi.org/10.3886/ICPSR06998.v1",administrative costs; assisted living; assisted living facilities; disabilities; health care costs; health care facilities; health services utilization; health status; institutional care; labor costs; long term care; mortality rates; nursing homes; older adults; patient care; personnel,https://odesi.ca/#/details?uri=/icpsr/06998.xml
"Canadian Gallup Poll, February 1979, #421b",1979,Gallup Canada,"This Gallup poll seeks the opinions of Canadians, on both social and political issues. The questions ask opinions about political leaders, Canadian population and abortion. It also asks questions regarding a better economy under the lead of which party. The respondents were also asked questions so that they could be grouped according to geographical variables. Topics of interest include: abortion; a better economy under which party; future of the family; and the size of the Canadian population. Basic demographic variables are also included.","Gallup Canada, 2019, ""Canadian Gallup Poll, February 1979, #421b"", https://doi.org/10.5683/SP2/X3HVBI, Scholars Portal Dataverse, V1, UNF:6:bMzWLTaX7VQQEJ5sYJDNYg== [fileUNF]",social sciences; public opinion poll; canada,https://odesi.ca/#/details?uri=/dataverse_sp/doi--10-5683_SP2_X3HVBI.xml
"Violence and Threats of Violence Against Women and Men in the United States, 1994-1996",1994,"Thoennes, Nancy","The questionnaires contained 14 sections, each covering a different topic. Section A of the survey asked respondents about their fear of violence and accommodation behavior. Variables from Section A include the respondent's overall assessment of whether personal safety for women had improved since the respondent was a child, or whether violent crime, domestic violence, sexual harassment, and sexual assault were more of a problem today. Respondents also indicated how concerned they were about their personal safety and about being stalked, whether they had ever been stalked and by whom, whether they carried something to defend themselves or to alert others and, if so, how often, and what they carried. Section B recorded respondent characteristics, including information on age, employment, medical coverage, education, race, number of adults and number of children living with the respondent, personal income, household income, and telephone service. Health-related variables include general assessment of health, whether the respondent had ever sustained a serious injury, had a chronic health condition, or had a chronic mental health condition and, if so, the ages at onset, and information on pregnancies, depression, alcohol use, and drug use. Section C recorded information on the number of the respondent's current and past marital and opposite-sex and same-sex cohabitating relationships. Section D recorded characteristics of the respondent's current relationship and current spouse/partner, including how long they had known each other, how long they lived together, and how long they were married, as well as the spouse/partner's age, employment, education, race, income, general health, and alcohol use. Section E obtained information on power, control, and emotional abuse by each spouse or partner. Specific variables include whether the spouse/partner had a hard time seeing things from the respondent's point of view, was jealous or possessive, provoked arguments, limited the respondent's contact with family or friends, insisted on knowing who the respondent was with at all times, called the respondent names, made the respondent feel inadequate, was frightened of the respondent, shouted or swore at the respondent, frightened the respondent, prevented the respondent from access to family income, prevented the respondent from working outside the home, or insisted on changing residences even when the respondent did not need or want to. Sections F through I screened for incidents of rape, physical assault, stalking, and threat victimization, respectively. Variables include screening questions specific to each type of victimization followed by variables identifying the relationship of each type of perpetrator to the respondent (current spouse, ex-spouse, male live-in partner, female live-in partner, other relative, acquaintance, or stranger), and then repeated to identify which spouse or partner (from current up to eight previous), specific relative, specific acquaintance (boyfriend/girlfriend/date, other men/boys, other women/girls, various other acquaintance categories), or male or female stranger. Sections J through M provide detailed information on each incident of rape, physical assault, stalking, and threat victimization, respectively, reported by the respondent. For each type of perpetrator identified in the victimization section, information is provided on the victimization, including number of times the victimization happened, if the incident occurred while the respondent was still in a relationship with the perpetrator, first and last time the incident happened, if the incident happened in the last 12 months, who was first to use force, drug or alcohol use at the time of the incident, resulting pregnancies, weapon use, injuries, medical, dental, and mental health care, how care was covered, days the respondent took off from various activities, reporting of the incident to the police or to others, if the respondent obtained a restraining order, if the offender violated the restraining order, if criminal charges were filed, if the offender was convicted, if the offender was sentenced to jail or prison, and if the respondent was satisfied with how he/she was treated during the court process. Section N recorded information about violence in the respondent's current relationship, including whether the respondent ever left the relationship, and if so, how many days he/she stayed away and where he/she stayed, the reason he/she returned home, if violence increased or decreased after returning home, if the spouse/partner ever left the relationship because of their violence toward the respondent, and how many different times they left. Variables also include information on children living with the respondent at the time of the incident, if the spouse/partner received counseling for their violent behavior, and if the respondent thought the violent behavior had stopped. The section concludes with variables to assess if the respondent had symptoms associated with post-traumatic stress disorder. Other variables in the data include interviewer gender, respondent gender, number of adult women and adult men in the household, number of different telephones in the household,and region code.","Tjaden, Patricia, and Nancy Thoennes. VIOLENCE AND THREATS OF VIOLENCE AGAINST WOMEN AND MEN IN THE UNITED STATES, 1994-1996. ICPSR02566-v1. Denver, CO: Center for Policy Research [producer], 1998. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 1999. http://doi.org/10.3886/ICPSR02566.v1",assault; battered women; child abuse; domestic violence; emotional abuse; fear of crime; rape; stalking; threats; victimization,https://odesi.ca/#/details?uri=/icpsr/02566.xml
"Interrogating Access tweets",9999,Nick Ruest,"Raw json of #InterrogatingAccess tweets from the Interrogating Access conference held at Wilfred Laurier University on February 15-16, 2014.  http://interrogatingaccess.ca/","Nick Ruest, 2014, ""Interrogating Access tweets"", hdl:10864/10599, Scholars Portal Dataverse, V1",,https://odesi.ca/#/details?uri=/dataverse_sp/hdl--10864_10599.xml
"Canadian Gallup Poll, July 1995",1995,Gallup Canada,"This Gallup poll seeks the opinions of Canadians, on predominantly economic, political and social issues. The questions ask opinions on the past election, and business conditions. There are also questions on other topics of interest such as approval of Jean Chretien, mercy killing, and Quebec separation. The respondents were also asked questions so that they could be grouped according to geographic, political and social variables. Topics of interest include: business conditions; mercy killing; Jean Chretien; Quebec; and political party preference. Basic demographic variables are also included","Gallup Canada, 2019, ""Canadian Gallup Poll, July 1995"", https://doi.org/10.5683/SP2/A9BIUK, Scholars Portal Dataverse, V1, UNF:6:tv4ajZPjZYnMK+kjtoE7Qg== [fileUNF]",social sciences; public opinion poll; canada,https://odesi.ca/#/details?uri=/dataverse_sp/doi--10-5683_SP2_A9BIUK.xml
"Travel Survey of Residents of Canada, 2015: Person File, October",2015,Statistics Canada,"<p>The Travel Survey of Residents of Canada (TSRC) is a major source of data used to measure the size and status of Canada's tourism industry. It was developed to quantify the volume, the characteristics and the economic impact of domestic travel. For the system of national accounts, TSRC measures the size of domestic travel in Canada from the demand side. </p><p>Since the beginning of 2005, the Travel Survey of Residents of Canada (TSRC) has been conducted to measure domestic travel in Canada. It replaces the Canadian Travel Survey (CTS). Featuring several definitional changes and a new questionnaire, this survey provides estimates of domestic travel that are more in line with the international guidelines recommended by the World Tourism Organization (WTO) and the United Nations Statistical Commission. In 2011, TSRC underwent a redesign. Please refer to the document entitled Differences Between the 2011 Redesigned TSRC and the 2010 TSRC available in the ""Documentation"" section of this survey, for an explanation of the differences between TSRC from 2006-2010 and TSRC in 2011.</p><p>The Travel Survey of Residents of Canada is sponsored by Statistics Canada, the Canadian Tourism Commission, and the provincial governments. It measures the size of domestic travel in Canada from the demand side. The objectives of the survey are to provide information about the volume of trips and expenditures for Canadian residents by trip origin, destination, duration, type of accommodation used, trip reason, mode of travel, etc.; to provide information on travel incidence and to provide the socio-demographic profile of travellers and non-travellers. Estimates allow quarterly analysis at the national, provincial and tourism region level (with varying degrees of precision) on:</p><ul><li> total volume of same-day and overnight trips taken by the residents of Canada with destinations in Canada, </li><li> same-day and overnight visits in Canada,</li><li> main purpose of the trip/key activities on trip,</li><li> spending on same-day and overnight trips taken in Canada by Canadian residents in total and by category of expenditure,</li><li> modes of transportation (main/other) used on the trip,</li><li> person-visits, household-visits, spending in total and by expense category for each location visited in Canada,</li> <li> person- and household-nights spent in each location visited in Canada, in total and by type of accommodation used,</li><li> use of travel packages and associated spending and source of payment (household, government, private employer),</li><li> demographics of adults that took or did not take trips, and</li><li> travel party composition.</li></ul><p>The main users of the TSRC data are Statistics Canada, the Canadian Tourism Commission, the provinces, and tourism boards. Other users include the media, businesses, consultants and researchers.</p>","Statistics Canada. 2014. Travel Survey of the Residents of Canada, 2015: Person File, October [public use microdata file]. Ottawa, Ontario: Statistics Canada [producer and distributor].",destination; domestic trip; expenditures; interprovincial trip; international trip; origin; overnight trip; package deal; reallocated expenditures; transportation; traveler; trip; united nations world tourism organization wto; visits,https://odesi.ca/#/details?uri=/odesi/tsrc-3810-E-2015-person-oct.xml
